storefrontId,displayName,city,state,phone,impressions,opens,directions,phoneTaps,websiteTaps,menuTaps,reviewsStarted,reviewsSubmitted,uniqueDevicesEngaged,uniqueDevicesOpened,uniqueDevicesDirections,uniqueDevicesPhoneTap,firstSeen,lastSeen
ocm-13152-skaneateles-tap-root-station,"Tap Root Station",Skaneateles,NY,(315) 554-8001,61,2,0,0,0,0,0,0,21,2,0,0,2026-03-31,2026-05-03
ocm-10001-new-york-culture-house,"Culture House",New York,NY,(212) 704-8080,52,5,0,0,2,0,0,0,17,3,0,0,2026-04-02,2026-05-03
ocm-13209-syracuse-flynnstoned-state-fair-blvd,"FlynnStoned State Fair Blvd",Syracuse,NY,(315) 849-5600,57,1,0,0,0,0,0,0,20,1,0,0,2026-03-31,2026-05-01
ocm-10001-new-york-housing-works-cannabis-co-nomad,"Housing Works Cannabis Co NoMad",New York,NY,(646) 370-1820,53,2,0,0,1,0,0,0,17,2,0,0,2026-04-02,2026-05-03
ocm-14580-rochester-flynnstoned-baytowne,"FlynnStoned Baytowne",Rochester,NY,(585) 347-4103,34,2,1,0,0,0,0,0,11,2,1,0,2026-04-02,2026-05-03
ocm-14424-canandaigua-good-life-collective-finger-lakes,"Good Life Collective Finger Lakes",Canandaigua,NY,(585) 412-6174,35,0,0,0,0,0,0,0,14,0,0,0,2026-03-31,2026-05-01
ocm-14564-victor-flower-city-dispensary,"Flower City Dispensary",Victor,NY,(585) 559-2837,32,0,2,0,0,0,0,0,14,0,2,0,2026-03-31,2026-05-03
ocm-14564-victor-fingerlakes-cannabis-co,"FingerLakes Cannabis Co",Victor,NY,(585) 407-8000,33,0,1,0,0,0,0,0,13,0,1,0,2026-04-02,2026-05-01
ocm-13219-syracuse-joe-s-buds,"Joe's Buds",Syracuse,NY,(315) 883-0033,29,2,0,0,0,0,0,0,10,2,0,0,2026-03-31,2026-05-01
ocm-14445-rochester-sessco-cannabis-dispensary,"Sessco Cannabis Dispensary",Rochester,NY,(585) 603-3516,30,0,1,0,0,0,0,0,12,0,1,0,2026-04-02,2026-05-01
ocm-13212-north-syracuse-flynnstoned-north-syracuse,"FlynnStoned North Syracuse",North Syracuse,NY,(315) 214-8148,29,0,0,0,0,0,0,0,10,0,0,0,2026-03-31,2026-05-01
ocm-13212-north-syracuse-herb-z,"Herb-Z",North Syracuse,NY,(315) 904-5007,28,0,0,0,0,0,0,0,9,0,0,0,2026-04-02,2026-05-01
ocm-10001-new-york-the-alchemy,"The Alchemy",New York,NY,(646) 819-4143,26,0,0,0,0,0,0,0,13,0,0,0,2026-04-02,2026-05-03
ocm-10001-new-york-vereleaf,"Vereleaf",New York,NY,(646) 368-1130,24,0,0,0,0,0,0,0,11,0,0,0,2026-04-02,2026-05-03
ocm-10002-new-york-conbud-llc,"CONBUD LLC",New York,NY,(646) 449-0809,23,0,0,0,0,0,0,0,11,0,0,0,2026-04-02,2026-05-03
ocm-13224-syracuse-vedaleaf,"VedaLeaf",Syracuse,NY,(315) 214-3553,19,0,2,0,0,0,0,0,8,0,1,0,2026-04-03,2026-05-01
ocm-14609-rochester-browncroft-budz,"Browncroft Budz",Rochester,NY,(585) 563-6012,20,0,0,0,0,0,0,0,8,0,0,0,2026-04-03,2026-05-01
ocm-14609-rochester-cannabis-corner,"Cannabis Corner",Rochester,NY,(585) 576-4706,20,0,0,0,0,0,0,0,8,0,0,0,2026-04-03,2026-05-01
ocm-14092-lewiston-stonedhouse-dispensary,"Stonedhouse Dispensary",Lewiston,NY,(716) 306-3500,20,0,0,0,0,0,0,0,17,0,0,0,2026-04-09,2026-05-01
ocm-14305-niagara-falls-la-ffoca,"LA FFOCA",Niagara Falls,NY,(716) 215-6192,20,0,0,0,0,0,0,0,17,0,0,0,2026-04-09,2026-05-01
ocm-14701-jamestown-bob-natural-cannabis-dispensary,"Bob Natural Cannabis Dispensary",Jamestown,NY,(716) 488-7027,20,0,0,0,0,0,0,0,17,0,0,0,2026-04-09,2026-05-01
ocm-14701-jamestown-buzzwny,"BuzzWNY",Jamestown,NY,(716) 710-7202,20,0,0,0,0,0,0,0,17,0,0,0,2026-04-09,2026-05-01
ocm-14701-jamestown-lifted,"Lifted",Jamestown,NY,(716) 489-3022,20,0,0,0,0,0,0,0,17,0,0,0,2026-04-09,2026-05-01
ocm-14701-jamestown-liquid-monkey-dispensary,"Liquid Monkey Dispensary",Jamestown,NY,(716) 490-5374,20,0,0,0,0,0,0,0,17,0,0,0,2026-04-09,2026-05-01
ocm-14701-jamestown-yeti-greenery,"Yeti Greenery",Jamestown,NY,(716) 543-9384,20,0,0,0,0,0,0,0,17,0,0,0,2026-04-09,2026-05-01
ocm-10002-new-york-kushklub-nyc,"KushKlub NYC",New York,NY,(646) 988-3762,19,0,0,0,0,0,0,0,7,0,0,0,2026-04-02,2026-05-03
ocm-13224-syracuse-diamond-tree-dispensary,"Diamond Tree Dispensary",Syracuse,NY,(315) 652-9560,19,0,0,0,0,0,0,0,8,0,0,0,2026-04-03,2026-05-01
ocm-14445-east-rochester-grass-roots-wellness,"Grass Roots Wellness",East Rochester,NY,(585) 267-7015,18,1,0,0,0,0,0,0,9,1,0,0,2026-04-03,2026-05-01
ocm-10002-new-york-mighty-lucky-inc,"Mighty Lucky Inc",New York,NY,(646) 901-6399,18,0,0,0,0,0,0,0,7,0,0,0,2026-04-02,2026-05-03
ocm-13202-syracuse-the-higher-co,"The Higher Co.",Syracuse,NY,(315) 870-7140,16,1,0,0,1,0,0,0,7,1,0,0,2026-04-03,2026-05-01
ocm-14607-rochester-good-life-collective,"Good Life Collective",Rochester,NY,(585) 360-2031,18,0,0,0,0,0,0,0,8,0,0,0,2026-04-04,2026-05-01
ocm-14736-findley-lake-organic-blooms,"Organic Blooms",Findley Lake,NY,(716) 769-2001,17,0,1,0,0,0,0,0,16,0,1,0,2026-04-09,2026-04-29
ocm-13210-syracuse-dazed-syracuse,"Dazed Syracuse",Syracuse,NY,(917) 232-9869,16,0,1,0,0,0,0,0,7,0,1,0,2026-04-03,2026-05-01
ocm-13202-syracuse-flynnstoned-corporation,"Flynnstoned Corporation",Syracuse,NY,(315) 299-9334,16,0,0,0,0,0,0,0,7,0,0,0,2026-04-03,2026-05-01
ocm-14604-rochester-6-point-cannabis,"6 Point Cannabis",Rochester,NY,(585) 601-0010,16,0,0,0,0,0,0,0,6,0,0,0,2026-04-07,2026-05-01
ocm-14614-rochester-flynnstoned-rochester,"FlynnStoned Rochester",Rochester,NY,(585) 270-5558,16,0,0,0,0,0,0,0,6,0,0,0,2026-04-07,2026-05-01
ocm-13224-syracuse-thrive-syracuse,"Thrive Syracuse",Syracuse,NY,(315) 207-7935,14,0,0,0,0,0,0,0,7,0,0,0,2026-04-04,2026-05-01
ocm-10007-new-york-alto-on-chambers,"Alto on Chambers",New York,NY,(212) 933-4737,12,1,0,0,0,0,0,0,6,1,0,0,2026-04-09,2026-05-03
ocm-13057-east-syracuse-verilife-east-syracuse,"Verilife East Syracuse",East Syracuse,NY,(315) 666-1185,11,0,1,0,0,0,0,0,6,0,1,0,2026-04-04,2026-05-01
ocm-14607-rochester-flynnstoned-rochester-n-goodman-st,"FlynnStoned Rochester; N Goodman St",Rochester,NY,(585) 340-6897,12,0,0,0,0,0,0,0,7,0,0,0,2026-04-04,2026-05-01
ocm-14607-rochester-wicked-reserve-dispensary,"Wicked Reserve Dispensary",Rochester,NY,(585) 402-9712,12,0,0,0,0,0,0,0,7,0,0,0,2026-04-04,2026-05-01
ocm-10002-new-york-the-flowery-chinatown,"The Flowery Chinatown",New York,NY,(718) 554-4109,12,0,0,0,0,0,0,0,7,0,0,0,2026-04-08,2026-05-03
ocm-10038-new-york-dankley-fidi,"Dankley FiDi",New York,NY,(646) 370-4317,12,0,0,0,0,0,0,0,6,0,0,0,2026-04-09,2026-05-03
ocm-10038-new-york-le-flora-cannabis,"Le Flora Cannabis",New York,NY,(646) 448-4835,12,0,0,0,0,0,0,0,6,0,0,0,2026-04-09,2026-05-03
ocm-13057-east-syracuse-rise-dispensary-east-syracuse,"RISE Dispensary East Syracuse",East Syracuse,NY,(315) 230-0008,11,0,0,0,0,0,0,0,6,0,0,0,2026-04-04,2026-05-01
ocm-13214-syracuse-loudpack-exotics,"Loudpack Exotics",Syracuse,NY,(315) 299-4323,11,0,0,0,0,0,0,0,6,0,0,0,2026-04-04,2026-05-01
ocm-14620-rochester-green-comfort-dispensary,"Green Comfort Dispensary",Rochester,NY,(585) 603-8883,11,0,0,0,0,0,0,0,6,0,0,0,2026-04-04,2026-05-01
ocm-12748-jeffersonville-the-green-house,"The Green House",Jeffersonville,NY,(845) 524-9655,7,2,1,0,1,0,0,0,2,1,1,0,2026-04-27,2026-05-01
ocm-14623-rochester-mj-dispensary,"MJ Dispensary",Rochester,NY,(585) 222-9333,10,0,0,0,0,0,0,0,5,0,0,0,2026-04-05,2026-05-01
ocm-14623-rochester-roc-dispensary,"ROC Dispensary",Rochester,NY,(585) 278-8205,9,1,0,0,0,0,0,0,5,1,0,0,2026-04-05,2026-05-01
ocm-14615-rochester-pure-wellness-dispensary,"Pure Wellness Dispensary",Rochester,NY,(585) 270-8782,9,1,0,0,0,0,0,0,4,1,0,0,2026-04-07,2026-05-01
ocm-14623-rochester-fiorello-pharmaceuticals-inc-dba-rise,"Fiorello Pharmaceuticals; Inc. (dba RISE)",Rochester,NY,(585) 242-0203,9,0,0,0,0,0,0,0,5,0,0,0,2026-04-05,2026-05-01
ocm-14623-rochester-misfits-dispensary,"Misfits Dispensary",Rochester,NY,(585) 601-2350,9,0,0,0,0,0,0,0,5,0,0,0,2026-04-05,2026-05-01
ocm-14527-penn-yan-bloom-cannabis-dispensary,"Bloom Cannabis Dispensary",Penn Yan,NY,(315) 694-7098,9,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-14608-rochester-rochester-s-finest-cannabis-dispensary,"Rochester's Finest Cannabis Dispensary",Rochester,NY,(585) 286-9995,9,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-14620-rochester-happy-goat-dispensary,"Happy Goat Dispensary",Rochester,NY,(585) 287-5264,9,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-13104-manlius-just-breathe-syracuse,"Just Breathe Syracuse",Manlius,NY,(315) 692-2131,8,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-02
ocm-13142-pulaski-salmon-river-cannabis-company,"Salmon River Cannabis Company",Pulaski,NY,(315) 384-8779,8,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-14485-lima-the-chosen-pot,"The Chosen Pot",Lima,NY,(585) 497-7100,7,1,0,0,0,0,0,0,4,1,0,0,2026-04-07,2026-05-02
ocm-14606-rochester-buddeez,"Buddeez",Rochester,NY,(585) 270-5620,8,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-14615-rochester-flynnstoned-rochester-west-ridge-rd,"FlynnStoned Rochester; West Ridge Rd",Rochester,NY,(585) 286-9973,8,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-14623-henrietta-the-shady-grove-dispensary,"The Shady Grove Dispensary",Henrietta,NY,(585) 270-4461,8,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-14623-rochester-mango-cannabis,"Mango Cannabis",Rochester,NY,(585) 404-0194,8,0,0,0,0,0,0,0,4,0,0,0,2026-04-07,2026-05-01
ocm-14850-ithaca-the-corner-house,"The Corner House",Ithaca,NY,(607) 379-6030,7,0,1,0,0,0,0,0,3,0,1,0,2026-04-07,2026-05-01
ocm-10003-new-york-dazed,"Dazed",New York,NY,(917) 232-9869,7,1,0,0,0,0,0,0,2,1,0,0,2026-04-08,2026-05-03
ocm-13077-homer-classy-canna,"Classy Canna",Homer,NY,(607) 218-7170,6,0,1,0,0,0,0,0,3,0,1,0,2026-04-07,2026-05-01
ocm-14466-hemlock-hemplocks,"Hemplocks",Hemlock,NY,(585) 367-1035,7,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14472-honeoye-falls-mj-dispensary-honeoye-falls,"MJ Dispensary Honeoye Falls",Honeoye Falls,NY,(585) 497-7090,7,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14543-rush-canna-health-and-wellness,"Canna Health and Wellness",Rush,NY,(585) 533-4067,7,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14559-spencerport-mj-dispensary-spencerport,"MJ Dispensary Spencerport",Spencerport,NY,(585) 488-2069,7,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14886-trumansburg-royal-buds-llc,"Royal Buds LLC",Trumansburg,NY,(607) 483-4683,7,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-10003-new-york-gotham-caurd-llc,"Gotham CAURD LLC",New York,NY,(646) 217-4544,7,0,0,0,0,0,0,0,2,0,0,0,2026-04-08,2026-05-03
ocm-12754-liberty-joint-jungle,"Joint Jungle",Liberty,NY,(845) 539-9333,7,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-01
ocm-12786-white-lake-bethel-buds,"Bethel Buds",White Lake,NY,(845) 250-4145,7,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-01
ocm-14201-buffalo-best-budz,"Best Budz",Buffalo,NY,(716) 259-8630,7,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-03
ocm-14201-buffalo-public-flower,"Public Flower",Buffalo,NY,(716) 201-0711,7,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-03
ocm-14203-buffalo-dank-716-llc,"Dank 716 LLC",Buffalo,NY,(716) 277-8493,7,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-03
ocm-13413-new-hartford-mills-cannabis,"Mills Cannabis",New Hartford,NY,(315) 316-0190,6,0,0,0,0,0,0,0,2,0,0,0,2026-04-06,2026-05-01
ocm-13413-new-hartford-the-village-green-dispensary,"The Village Green Dispensary",New Hartford,NY,(315) 316-0823,6,0,0,0,0,0,0,0,2,0,0,0,2026-04-06,2026-05-01
ocm-13495-yorkville-ganja-express-dispensary,"Ganja Express Dispensary",Yorkville,NY,(315) 507-2577,6,0,0,0,0,0,0,0,2,0,0,0,2026-04-06,2026-05-01
ocm-13045-cortland-lakehouse-cannabis,"LakeHouse Cannabis",Cortland,NY,(607) 249-3254,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-13053-dryden-geneva-naturals-llc-dba-dryden-dispensary,"Geneva Naturals LLC (dba Dryden Dispensary)",Dryden,NY,(607) 708-4151,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14052-east-aurora-buffalo-kind,"Buffalo Kind",East Aurora,NY,(716) 345-2374,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-03
ocm-14850-ithaca-aspire,"Aspire",Ithaca,NY,(607) 319-4382,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14850-ithaca-collegetown-dispensary,"Collegetown Dispensary",Ithaca,NY,(607) 241-9138,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14850-ithaca-the-highly-connected-dispensary,"The Highly Connected Dispensary",Ithaca,NY,(607) 319-0420,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14850-ithaca-upstate-haze,"Upstate Haze",Ithaca,NY,(607) 793-8000,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-14850-ithaca-william-jane-corporation,"William Jane Corporation",Ithaca,NY,(607) 319-0118,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-01
ocm-13617-canton-northern-lights-dispensary,"Northern Lights Dispensary",Canton,NY,(315) 386-4200,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-27,2026-05-03
ocm-13669-ogdensburg-green-door-dispensary,"Green Door Dispensary",Ogdensburg,NY,(315) 375-3004,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-27,2026-05-03
ocm-13676-potsdam-the-firehaus-ny,"The Firehaus NY",Potsdam,NY,(315) 261-4021,6,0,0,0,0,0,0,0,3,0,0,0,2026-04-27,2026-05-03
ocm-10923-garnerville-202-cannabis-co,"202 Cannabis Co.",Garnerville,NY,(845) 915-7003,3,2,1,0,0,0,0,0,1,1,1,0,2026-05-03,2026-05-03
ocm-13354-holland-patent-brookie-s-cookies,"Brookie's Cookies",Holland Patent,NY,(315) 749-6451,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13440-rome-luxus-botanica,"Luxus Botanica",Rome,NY,(315) 314-9333,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13501-utica-exit-31-exotic,"Exit 31 Exotic",Utica,NY,(315) 982-4274,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13501-utica-puff-theory-cannabis,"Puff Theory Cannabis",Utica,NY,(315) 275-7833,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13502-utica-air-city-cannabis,"Air City Cannabis",Utica,NY,(315) 269-8013,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13619-carthage-black-river-supply-company,"Black River Supply Company",Carthage,NY,(315) 519-1161,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13691-theresa-high-falls-garden,"High Falls Garden",Theresa,NY,(315) 628-3033,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13743-waverly-hazy-daze,"Hazy Daze",Waverly,NY,(607) 249-6007,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13901-binghamton-just-breathe,"Just Breathe",Binghamton,NY,(607) 677-0073,5,0,0,0,0,0,0,0,3,0,0,0,2026-04-07,2026-05-02
ocm-14020-batavia-mrs-green-cannary,"Mrs. Green CANNAry",Batavia,NY,(585) 356-1647,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14052-east-aurora-east-leaf-dispensary-east-aurora,"East Leaf Dispensary East Aurora",East Aurora,NY,(716) 714-6266,4,1,0,0,0,0,0,0,2,1,0,0,2026-04-07,2026-05-01
ocm-14420-brockport-evergreen-retail,"Evergreen Retail",Brockport,NY,(585) 391-3474,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14437-dansville-dansville-dispesnary,"Dansville Dispesnary",Dansville,NY,(585) 649-6213,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14481-leicester-nautical-blaze-dispensary,"Nautical Blaze Dispensary",Leicester,NY,(585) 382-5010,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14830-corning-canna-culture-co,"Canna Culture Co.",Corning,NY,(607) 542-2708,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14830-corning-union-chill,"Union Chill",Corning,NY,(607) 654-4115,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14845-horseheads-archie-s-cannabis-company,"Archie's Cannabis Company",Horseheads,NY,(607) 215-0560,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14850-ithaca-altitude-ithaca,"Altitude Ithaca",Ithaca,NY,(607) 219-3310,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14894-wellsburg-rocky-river-remedies,"Rocky River Remedies",Wellsburg,NY,(607) 483-1185,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14901-elmira-the-dabbery-hashery,"The Dabbery Hashery",Elmira,NY,(607) 398-0150,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14901-elmira-the-goodie-bag,"The Goodie Bag",Elmira,NY,(607) 442-0042,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-10013-new-york-elevate-soho-cannabis,"Elevate Soho Cannabis",New York,NY,(516) 498-7753,5,0,0,0,0,0,0,0,5,0,0,0,2026-04-09,2026-04-13
ocm-10038-new-york-green-klub,"Green Klub",New York,NY,(646) 220-0576,5,0,0,0,0,0,0,0,5,0,0,0,2026-04-09,2026-04-13
ocm-12455-margaretville-lively-harvest,"Lively Harvest",Margaretville,NY,(845) 586-6797,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-01
ocm-13754-deposit-canna-vibes-ny,"Canna Vibes NY",Deposit,NY,(607) 467-1039,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-01
ocm-13783-hancock-knotweed-farm,"Knotweed Farm",Hancock,NY,(518) 542-9632,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-01
ocm-14043-depew-the-smoking-buffalo,"The Smoking Buffalo",Depew,NY,(716) 288-7845,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-03
ocm-14201-buffalo-buffalo-dreams,"Buffalo Dreams",Buffalo,NY,(716) 466-2351,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-03
ocm-14204-buffalo-mammoth-cannabis,"Mammoth Cannabis",Buffalo,NY,(716) 339-5647,5,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-03
ocm-13350-herkimer-budd-barn,"Budd Barn",Herkimer,NY,(315) 619-9333,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13790-johnson-city-greenery-spot-llc,"Greenery Spot LLC",Johnson City,NY,(607) 788-1189,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13850-vestal-exscape-inc-dba-sacred-bloom,"Exscape INC (dba Sacred Bloom)",Vestal,NY,(607) 444-3085,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13850-vestal-skalz,"Skalz",Vestal,NY,(607) 217-4301,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13901-binghamton-blissful-buds,"Blissful Buds",Binghamton,NY,(607) 217-5010,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-13904-binghamton-cotton-mouth-dispensary,"Cotton Mouth Dispensary",Binghamton,NY,(607) 217-4043,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14008-appleton-innocence-cannabis,"Innocence Cannabis",Appleton,NY,(716) 638-4222,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14051-east-amherst-realistic-health-and-wellness,"Realistic Health & Wellness",East Amherst,NY,(716) 276-8074,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14086-lancaster-kushmart-lancaster,"Kushmart Lancaster",Lancaster,NY,(716) 601-7012,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14094-lockport-grow716,"Grow716",Lockport,NY,(716) 202-8191,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14094-lockport-peace-love-and-bud,"Peace; Love; & Bud",Lockport,NY,(716) 346-6589,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-14221-williamsville-cloudfather,"Cloudfather",Williamsville,NY,(716) 276-8456,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-07,2026-05-01
ocm-12701-monticello-canna-planet-monticello,"Canna Planet Monticello",Monticello,NY,(845) 720-9333,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-01
ocm-12775-rock-hill-platinum-leaf,"Platinum Leaf",Rock Hill,NY,(845) 796-0418,4,0,0,0,0,0,0,0,2,0,0,0,2026-04-27,2026-05-01
ocm-12790-wurtsboro-woodstock-oasis,"Woodstock Oasis",Wurtsboro,NY,(845) 498-7286,2,1,1,0,0,0,0,0,1,1,1,0,2026-04-27,2026-05-01
ocm-12901-plattsburgh-the-herb-cave,"The Herb Cave",Plattsburgh,NY,(518) 310-0349,3,1,0,0,0,0,0,0,2,1,0,0,2026-05-02,2026-05-03
ocm-12010-amsterdam-amsterdam-cannabis-inc,"Amsterdam Cannabis; Inc.",Amsterdam,NY,(518) 212-2280,3,0,0,0,0,0,0,0,1,0,0,0,2026-04-27,2026-05-01
ocm-12020-ballston-spa-leaf-and-fog-dispensary,"Leaf & Fog Dispensary",Ballston Spa,NY,(518) 309-3380,3,0,0,0,0,0,0,0,1,0,0,0,2026-04-27,2026-05-01
ocm-12020-ballston-spa-sashies-dispensary,"Sashies Dispensary",Ballston Spa,NY,(518) 288-3158,3,0,0,0,0,0,0,0,1,0,0,0,2026-04-27,2026-05-01
ocm-12095-johnstown-ganja-palace-dispensary,"Ganja Palace Dispensary",Johnstown,NY,(518) 705-4282,3,0,0,0,0,0,0,0,1,0,0,0,2026-04-27,2026-05-01
ocm-12303-schenectady-grass-and-goodness,"Grass & Goodness",Schenectady,NY,(518) 901-7107,3,0,0,0,0,0,0,0,1,0,0,0,2026-04-27,2026-05-01
